seq,time,time_delta,ch0,ch1,ch2,ch3,ch4,ch5,phasor0,phasor1,phasor2,phasor3,phasor4,phasor5
0,1728464323844283,1728464323844283,1680,1963,0,277,1074,247,(307.9642639160156-572.491943359375j),(382.22222900390625+591.6575927734375j),(-689.2169799804688+34.33330535888672j),(-167.62257385253906-285.7128601074219j),(277.1751708984375+26.109912872314453j),(-176.6507568359375+282.5919189453125j)
1,1728464323845125,842,1984,1657,0,431,1041,132,(448.2585144042969-472.5767822265625j),(208.82159423828125+668.4826049804688j),(-674.61865234375-145.21905517578125j),(-86.67515563964844-319.0162353515625j),(260.44970703125+96.8182601928711j),(-241.1556396484375+227.94320678710938j)
2,1728464323845967,842,2355,1171,29,600,1050,40,(556.3427734375-340.1759033203125j),(22.37137222290039+698.0585327148438j),(-614.0460815429688-314.875j),(0.8983076810836792-330.02923583984375j),(226.27520751953125+160.86390686035156j),(-289.0367431640625+158.53701782226562j)
3,1728464323846809,842,2464,930,242,802,896,0,(627.1202392578125-184.1396484375j),(-159.22274780273438+680.019775390625j),(-512.070068359375-463.19134521484375j),(88.45887756347656-317.9689025878906j),(174.03265380859375+213.17047119140625j),(-318.4093322753906+78.81207275390625j)
4,1728464323847651,842,2520,626,490,944,762,0,(654.4166259765625-15.284994125366211j),(-333.0191650390625+614.7760009765625j),(-372.485107421875-579.3380126953125j),(168.98876953125-283.90521240234375j),(110.71648406982422+250.35671997070312j),(-327.9578857421875-6.283788204193115j)
5,1728464323848493,842,2502,341,816,1071,615,0,(635.8727416992188+154.55740356445312j),(-484.1683044433594+506.73046875j),(-205.7843475341797-654.9146118164062j),(238.40106201171875-230.0409393310547j),(40.37596130371094+270.0070495605469j),(-315.1566162109375-90.951416015625j)
6,1728464323849335,842,2411,121,1160,1180,482,42,(573.3180541992188+313.62969970703125j),(-602.001708984375+363.3001403808594j),(-26.008033752441406-684.986328125j),(291.34613037109375-160.08995056152344j),(-32.371917724609375+270.85784912109375j),(-280.8779602050781-169.4208526611328j)
7,1728464323850177,842,2272,10,1496,1258,322,153,(471.6434326171875+451.06982421875j),(-677.7315673828125+194.5183563232422j),(155.70741271972656-667.4283447265625j),(323.89947509765625-78.9487075805664j),(-103.46487426757812+252.6893310546875j),(-226.5322265625-236.09649658203125j)
8,1728464323851019,842,1802,10,1845,1294,194,298,(336.85504150390625+557.241943359375j),(-704.8627319335938+12.512821197509766j),(323.99017333984375-604.1597900390625j),(350.240234375+12.112875938415527j),(-156.52613830566406+219.66220092773438j),(-159.1962127685547-287.08160400390625j)
9,1728464323851861,842,1515,0,2130,1295,94,468,(180.83018493652344+625.3525390625j),(-684.486083984375-170.45327758789062j),(469.1172790527344-499.77264404296875j),(353.96636962890625+107.38517761230469j),(-201.28392028808594+173.4771728515625j),(-78.90608978271484-318.3515625j)
10,1728464323852703,842,1210,56,2529,1223,23,647,(12.131194114685059+650.6632080078125j),(-617.0462646484375-341.80328369140625j),(582.7246704101562-361.2620849609375j),(333.2292175292969+200.46182250976562j),(-232.60330200195312+117.27091979980469j),(8.794063568115234-327.22540283203125j)
11,1728464323853545,842,869,252,2631,1120,0,832,(-158.9400177001953+631.0281982421875j),(-509.4070739746094-490.35601806640625j),(656.7728271484375-198.02432250976562j),(291.4429931640625+285.625244140625j),(-251.44749450683594+54.03263473510742j),(98.7809066772461-312.3004150390625j)
