timestamp_nsec,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5
1728464445886752000,722,2920,383,18,1336,798
1728464445887595000,1038,2700,146,170,1416,563
1728464445888437000,1397,2343,0,391,1444,369
1728464445889279000,1687,1869,0,612,1391,186
1728464445890121000,1951,1577,0,833,1275,74
1728464445890963000,2355,1264,50,1007,1116,0
1728464445891805000,2471,929,249,1205,942,0
1728464445892647000,2515,613,562,1363,761,4
1728464445893489000,2501,341,853,1481,580,111
1728464445894331000,2406,125,1156,1592,421,320
1728464445895173000,2278,0,1506,1658,258,496
1728464445896015000,1807,10,1782,1632,138,736
1728464445896857000,1523,13,2083,1530,70,962
1728464445897699000,1191,54,2483,1381,6,1140
1728464445898541000,868,256,2636,1170,0,1299
1728464445899383000,557,526,2663,947,9,1463
1728464445900225000,305,832,2639,729,145,1592
1728464445901067000,84,1153,2556,555,285,1669
1728464445901909000,0,1472,2351,375,480,1703
1728464445902751000,0,1780,1909,207,665,1653
1728464445903593000,0,2036,1612,95,850,1547
1728464445904435000,64,2568,1250,8,1000,1380
1728464445905277000,265,2896,891,4,1161,1145
1728464445906119000,528,3011,549,21,1306,907
1728464445906961000,878,2898,267,69,1376,680
1728464445907803000,1151,2560,72,235,1460,509
1728464445908645000,1465,2159,21,449,1434,322
1728464445909487000,1760,1818,0,664,1370,167
1728464445910329000,2015,1507,0,871,1237,41
1728464445911171000,2386,1190,96,1066,1074,0
1728464445912013000,2496,832,304,1246,917,0
1728464445912855000,1668,1900,2,549,1797,398
1728464445913697000,2483,344,797,1740,898,9
1728464445914540000,2405,128,1139,1892,695,167
1728464445915382000,2270,0,1495,2272,469,370
1728464445916224000,1788,53,1856,2303,274,648
1728464445917066000,1504,0,2224,2261,128,924
1728464445917908000,1184,29,2583,1871,18,1200
1728464445918750000,872,237,2611,1654,0,1463
1728464445919592000,567,498,2659,1380,0,1689
1728464445920434000,298,795,2647,1101,46,1877
1728464445921276000,92,1124,2565,837,207,2024
1728464445922118000,0,1458,2414,616,418,2227
1728464445922960000,0,1743,1933,405,660,2321
1728464445923802000,0,2021,1616,212,875,2047
1728464445924644000,52,2539,1264,73,1096,1884
1728464445925486000,249,2820,915,0,1303,1670
1728464445926328000,496,3015,554,0,1477,1333
1728464445927237000,799,2926,286,2,1642,1074
1728464445928080000,1155,2668,81,151,1733,821
1728464445928922000,1458,2194,2,371,1803,580
1728464445929765000,1746,1815,0,634,1777,354
1728464445930607000,1997,1517,11,915,1688,165
1728464445931449000,2381,1203,73,1164,1521,36
1728464445932291000,2491,855,285,1406,1318,0
1728464445933133000,2593,529,554,1619,1063,0
1728464445933976000,2529,266,893,1777,817,45
1728464445934819000,2387,82,1237,1964,626,221
1728464445935661000,1969,10,1600,2317,414,449
1728464445936504000,1656,2,1944,2326,218,750
1728464445937346000,1380,0,2177,2172,89,981
1728464445938188000,1092,76,2542,1795,0,1250
1728464445939030000,781,296,2635,1586,0,1531
1728464445939872000,490,578,2658,1302,0,1747
1728464445940639000,244,890,2618,1028,82,1922
1728464445941482000,42,1209,2528,788,266,2061
1728464445942324000,0,1531,2160,558,488,2318
1728464445943166000,0,1832,1859,340,724,2307
1728464445944008000,0,2065,1535,173,947,2017
1728464445944850000,98,2625,1186,34,1157,1839
1728464445945692000,296,2890,872,0,1389,1596
1728464445946534000,578,2904,417,0,1517,1401
1728464445947376000,874,2767,177,20,1650,1106
1728464445948219000,1224,2524,34,192,1772,762
1728464445949061000,1523,2009,5,440,1801,513
1728464445949904000,1822,1736,5,714,1763,303
1728464445950746000,2071,1439,0,977,1632,122
1728464445951588000,2411,1095,133,1231,1461,0
1728464445952430000,2496,746,354,1464,1291,0
1728464445953272000,2508,448,655,1660,1063,0
1728464445954123000,2460,224,981,1825,810,92
1728464445954966000,2333,29,1336,2152,558,258
1728464445955808000,1935,0,1688,2315,320,500
1728464445956650000,1771,0,2032,2314,160,802
1728464445957492000,1443,0,2330,2191,44,1065
1728464445958334000,1020,138,2576,1774,0,1344
1728464445959176000,708,372,2648,1510,0,1586
1728464445960018000,420,655,2655,1231,2,1797
1728464445960861000,185,977,2608,960,129,1961
1728464445961704000,0,1306,2503,719,314,2076
1728464445962546000,0,1614,2078,490,549,2336
1728464445963388000,0,1915,1780,304,788,2178
1728464445964230000,0,2368,1443,138,1006,1984
1728464445965072000,142,2706,1088,5,1205,1777
1728464445965914000,346,2862,832,0,1434,1536
1728464445966756000,658,2912,497,0,1596,1251
1728464445967611000,968,2759,257,53,1731,963
1728464445968454000,1310,2448,0,250,1783,697
1728464445969296000,1612,1949,11,505,1792,441
1728464445970139000,1889,1671,5,786,1739,258
1728464445970982000,2335,1351,5,1044,1584,82
