seq=0,	ch0=1587,	ch1= 361,	ch2= 349,	ch3= 593,	ch4= 872,	ch5=  10,	time=1728463139372001,	delta=1728463139372001,	
seq=1,	ch0=1601,	ch1= 201,	ch2= 577,	ch3= 720,	ch4= 633,	ch5=   2,	time=1728463139372843,	delta=842,	
seq=2,	ch0=1504,	ch1=  98,	ch2= 797,	ch3= 832,	ch4= 597,	ch5=   0,	time=1728463139373685,	delta=842,	
seq=3,	ch0=1376,	ch1=   0,	ch2=1042,	ch3= 925,	ch4= 468,	ch5=   0,	time=1728463139374527,	delta=842,	
seq=4,	ch0=1193,	ch1=   5,	ch2=1250,	ch3= 992,	ch4= 333,	ch5=  64,	time=1728463139375368,	delta=841,	
seq=5,	ch0=1009,	ch1=   0,	ch2=1439,	ch3=1047,	ch4= 215,	ch5= 158,	time=1728463139376210,	delta=842,	
seq=6,	ch0= 797,	ch1=  52,	ch2=1585,	ch3=1077,	ch4= 128,	ch5= 296,	time=1728463139377052,	delta=842,	
seq=7,	ch0= 560,	ch1= 176,	ch2=1685,	ch3=1056,	ch4=  53,	ch5= 466,	time=1728463139377894,	delta=842,	
seq=8,	ch0= 370,	ch1= 356,	ch2=1731,	ch3= 983,	ch4=   0,	ch5= 625,	time=1728463139378736,	delta=842,	
seq=9,	ch0= 200,	ch1= 568,	ch2=1756,	ch3= 884,	ch4=   0,	ch5= 765,	time=1728463139379578,	delta=842,	
seq=10,	ch0=  57,	ch1= 775,	ch2=1600,	ch3= 744,	ch4=   0,	ch5= 905,	time=1728463139380420,	delta=842,	
seq=11,	ch0=   2,	ch1=1009,	ch2=1425,	ch3= 585,	ch4=  23,	ch5=1018,	time=1728463139381262,	delta=842,	
seq=12,	ch0=   5,	ch1=1191,	ch2=1266,	ch3= 430,	ch4=  74,	ch5= 975,	time=1728463139382104,	delta=842,	
seq=13,	ch0=   0,	ch1=1486,	ch2=1070,	ch3= 311,	ch4= 184,	ch5=1044,	time=1728463139382946,	delta=842,	
seq=14,	ch0=  48,	ch1=1512,	ch2= 853,	ch3= 182,	ch4= 295,	ch5=1088,	time=1728463139383788,	delta=842,	
