seq=0,	ch0=1552,	ch1= 200,	ch2= 628,	ch3=1504,	ch4= 512,	ch5= 149,	time=1728464059284141,	delta=1728464059284141,	
seq=1,	ch0=1462,	ch1=  47,	ch2= 970,	ch3=1592,	ch4= 374,	ch5= 320,	time=1728464059284984,	delta=843,	
seq=2,	ch0=1322,	ch1=  30,	ch2=1166,	ch3=1626,	ch4= 225,	ch5= 523,	time=1728464059285826,	delta=842,	
seq=3,	ch0=1140,	ch1=   1,	ch2=1189,	ch3=1558,	ch4=  79,	ch5= 846,	time=1728464059286668,	delta=842,	
seq=4,	ch0= 939,	ch1=   0,	ch2=1480,	ch3=1458,	ch4=   5,	ch5= 970,	time=1728464059287510,	delta=842,	
seq=5,	ch0= 727,	ch1=  82,	ch2=1632,	ch3=1282,	ch4=   0,	ch5=1147,	time=1728464059288352,	delta=842,	
seq=6,	ch0= 520,	ch1= 226,	ch2=1701,	ch3=1073,	ch4=   0,	ch5=1332,	time=1728464059289194,	delta=842,	
seq=7,	ch0= 330,	ch1= 413,	ch2=1729,	ch3= 855,	ch4=  49,	ch5=1484,	time=1728464059290036,	delta=842,	
seq=8,	ch0= 158,	ch1= 615,	ch2=1685,	ch3= 652,	ch4= 164,	ch5=1603,	time=1728464059290879,	delta=843,	
seq=9,	ch0=  29,	ch1= 818,	ch2=1581,	ch3= 477,	ch4= 320,	ch5=1668,	time=1728464059291722,	delta=843,	
seq=10,	ch0=   0,	ch1=1029,	ch2=1423,	ch3= 311,	ch4= 500,	ch5=1661,	time=1728464059292564,	delta=842,	
seq=11,	ch0=   0,	ch1=1234,	ch2=1230,	ch3= 169,	ch4= 682,	ch5=1602,	time=1728464059293406,	delta=842,	
seq=12,	ch0=   0,	ch1=1401,	ch2=1013,	ch3=  34,	ch4= 810,	ch5=1452,	time=1728464059294248,	delta=842,	
seq=13,	ch0=  74,	ch1=1508,	ch2= 788,	ch3=   0,	ch4= 928,	ch5=1252,	time=1728464059295090,	delta=842,	
seq=14,	ch0= 356,	ch1=1567,	ch2= 560,	ch3=   0,	ch4=1098,	ch5=1036,	time=1728464059295932,	delta=842,	
seq=15,	ch0= 514,	ch1=1606,	ch2= 393,	ch3=   8,	ch4=1223,	ch5= 826,	time=1728464059296774,	delta=842,	
seq=16,	ch0= 618,	ch1=1590,	ch2= 171,	ch3= 138,	ch4=1334,	ch5= 610,	time=1728464059285528,	delta=18446744073709540370,	
seq=17,	ch0= 837,	ch1=1493,	ch2=  31,	ch3= 306,	ch4=1377,	ch5= 431,	time=1728464059286370,	delta=842,	
seq=18,	ch0=1053,	ch1=1348,	ch2=   0,	ch3= 514,	ch4=1357,	ch5= 254,	time=1728464059287212,	delta=842,	
seq=19,	ch0=1236,	ch1=1170,	ch2=   8,	ch3= 736,	ch4=1284,	ch5= 105,	time=1728464059288053,	delta=841,	
seq=20,	ch0=1394,	ch1= 956,	ch2=   0,	ch3= 938,	ch4=1153,	ch5=   2,	time=1728464059288895,	delta=842,	
seq=21,	ch0=1509,	ch1= 736,	ch2= 116,	ch3=1100,	ch4= 997,	ch5=   0,	time=1728464059289737,	delta=842,	
seq=22,	ch0=1565,	ch1= 523,	ch2= 278,	ch3=1274,	ch4= 818,	ch5=   0,	time=1728464059290579,	delta=842,	
seq=23,	ch0=1583,	ch1= 322,	ch2= 549,	ch3=1423,	ch4= 637,	ch5=  43,	time=1728464059291421,	delta=842,	
seq=24,	ch0=1543,	ch1= 162,	ch2= 737,	ch3=1537,	ch4= 471,	ch5= 184,	time=1728464059292264,	delta=843,	
seq=25,	ch0=1431,	ch1=  22,	ch2= 847,	ch3=1604,	ch4= 330,	ch5= 453,	time=1728464059293107,	delta=843,	
seq=26,	ch0=1316,	ch1=  13,	ch2=1108,	ch3=1612,	ch4= 192,	ch5= 641,	time=1728464059293949,	delta=842,	
seq=27,	ch0=1147,	ch1=   8,	ch2=1324,	ch3=1549,	ch4=  42,	ch5= 732,	time=1728464059294791,	delta=842,	
seq=28,	ch0= 887,	ch1=   9,	ch2=1535,	ch3=1422,	ch4=   0,	ch5=1012,	time=1728464059295633,	delta=842,	
seq=29,	ch0=2531,	ch1= 557,	ch2= 565,	ch3= 107,	ch4=  66,	ch5=  66,	time=1728464154218934,	delta=94923301,	
seq=30,	ch0=2388,	ch1=  79,	ch2=1228,	ch3= 106,	ch4=  71,	ch5=  77,	time=1728464154220618,	delta=1684,	
