seq=0,	ch0= 789,	ch1= 210,	ch2= 109,	ch3= 154,	ch4= 146,	ch5=  96,	time=1728461174943762,	delta=1728461174943762,	
seq=1,	ch0= 685,	ch1= 154,	ch2= 194,	ch3= 197,	ch4=  90,	ch5= 151,	time=1728461174944604,	delta=842,	
seq=2,	ch0= 773,	ch1=  71,	ch2= 314,	ch3= 142,	ch4=  98,	ch5= 109,	time=1728461174945446,	delta=842,	
seq=3,	ch0= 714,	ch1=   2,	ch2= 433,	ch3= 139,	ch4= 101,	ch5= 106,	time=1728461174946288,	delta=842,	
seq=4,	ch0=   0,	ch1= 538,	ch2= 686,	ch3=  84,	ch4=  20,	ch5=  71,	time=1728461203496164,	delta=28549876,	
seq=5,	ch0=   0,	ch1= 711,	ch2= 480,	ch3=  20,	ch4=  21,	ch5=  20,	time=1728461203497846,	delta=1682,	
seq=6,	ch0= 207,	ch1= 814,	ch2= 148,	ch3=  16,	ch4=  20,	ch5=  15,	time=1728461203500371,	delta=2525,	
seq=7,	ch0= 312,	ch1= 778,	ch2=  70,	ch3=  25,	ch4=  20,	ch5=  17,	time=1728461203501212,	delta=841,	
seq=8,	ch0= 410,	ch1= 715,	ch2=   1,	ch3=   2,	ch4=  21,	ch5=   2,	time=1728461203502053,	delta=841,	
seq=9,	ch0= 523,	ch1= 657,	ch2=   0,	ch3=  23,	ch4=  20,	ch5=  20,	time=1728461203502894,	delta=841,	
seq=10,	ch0= 594,	ch1= 580,	ch2=   8,	ch3=  17,	ch4=  26,	ch5=  41,	time=1728461203503735,	delta=841,	
seq=11,	ch0= 737,	ch1= 480,	ch2=   0,	ch3=  14,	ch4=  21,	ch5=   0,	time=1728461203504576,	delta=841,	
seq=12,	ch0= 777,	ch1= 413,	ch2=  41,	ch3=  33,	ch4=  23,	ch5=   0,	time=1728461203505417,	delta=841,	
seq=13,	ch0= 794,	ch1= 213,	ch2= 133,	ch3=  32,	ch4=   0,	ch5=   4,	time=1728461203506258,	delta=841,	
seq=14,	ch0= 785,	ch1= 145,	ch2= 234,	ch3=  22,	ch4=  11,	ch5=  13,	time=1728461203507099,	delta=841,	
seq=15,	ch0= 760,	ch1=  68,	ch2= 346,	ch3=  27,	ch4=  25,	ch5=  16,	time=1728461203507940,	delta=841,	
seq=16,	ch0= 696,	ch1=   4,	ch2= 459,	ch3=  18,	ch4=  16,	ch5=  10,	time=1728461174953127,	delta=18446744073680996803,	
seq=17,	ch0= 629,	ch1=   0,	ch2= 578,	ch3=  26,	ch4=  18,	ch5=  13,	time=1728461174953968,	delta=841,	
seq=18,	ch0= 538,	ch1=   0,	ch2= 682,	ch3=  29,	ch4=  18,	ch5=  18,	time=1728461174954809,	delta=841,	
seq=19,	ch0= 430,	ch1=   0,	ch2= 745,	ch3=  21,	ch4=  53,	ch5=  17,	time=1728461174955650,	delta=841,	
seq=20,	ch0= 402,	ch1=  52,	ch2= 811,	ch3=  20,	ch4=   8,	ch5=  29,	time=1728461174956491,	delta=841,	
seq=21,	ch0= 201,	ch1= 142,	ch2= 847,	ch3=  30,	ch4=  13,	ch5=  30,	time=1728461174957332,	delta=841,	
seq=22,	ch0= 119,	ch1= 234,	ch2= 875,	ch3=  18,	ch4=  20,	ch5=  21,	time=1728461174958173,	delta=841,	
seq=23,	ch0=  68,	ch1= 324,	ch2= 740,	ch3=  18,	ch4=  18,	ch5=  92,	time=1728461174959014,	delta=841,	
seq=24,	ch0=   0,	ch1= 554,	ch2= 736,	ch3=  33,	ch4=  10,	ch5=   0,	time=1728461174959855,	delta=841,	
seq=25,	ch0=   0,	ch1= 519,	ch2= 661,	ch3=  21,	ch4=  64,	ch5=  21,	time=1728461174960696,	delta=841,	
seq=26,	ch0=   0,	ch1= 648,	ch2= 570,	ch3=  28,	ch4=  25,	ch5=  21,	time=1728461174961537,	delta=841,	
seq=27,	ch0=   0,	ch1= 718,	ch2= 458,	ch3=  24,	ch4=  26,	ch5=  17,	time=1728461174962378,	delta=841,	
seq=28,	ch0=  57,	ch1= 773,	ch2= 338,	ch3=  23,	ch4=  21,	ch5=  18,	time=1728461174963219,	delta=841,	
seq=29,	ch0= 133,	ch1= 797,	ch2= 234,	ch3=  26,	ch4=  16,	ch5=  16,	time=1728461174964060,	delta=841,	
seq=30,	ch0= 235,	ch1= 796,	ch2= 116,	ch3=  21,	ch4=  23,	ch5=  11,	time=1728461174964901,	delta=841,	
seq=31,	ch0= 338,	ch1= 775,	ch2=  56,	ch3=  23,	ch4=  21,	ch5=  26,	time=1728461174965742,	delta=841,	
seq=32,	ch0= 448,	ch1= 704,	ch2=   0,	ch3=  26,	ch4=   9,	ch5=  18,	time=1728461174966658,	delta=916,	
seq=33,	ch0= 548,	ch1= 638,	ch2=   0,	ch3=  26,	ch4=  29,	ch5=  21,	time=1728461174967499,	delta=841,	
seq=34,	ch0= 586,	ch1= 519,	ch2=   0,	ch3=   0,	ch4=  13,	ch5=  10,	time=1728461174968340,	delta=841,	
seq=35,	ch0= 682,	ch1= 454,	ch2=  10,	ch3=  13,	ch4=  18,	ch5=   0,	time=1728461174969181,	delta=841,	
seq=36,	ch0= 746,	ch1= 331,	ch2=  20,	ch3=   8,	ch4=   5,	ch5=  98,	time=1728461174970022,	delta=841,	
seq=37,	ch0= 781,	ch1= 219,	ch2= 156,	ch3=  26,	ch4=  18,	ch5=  10,	time=1728461174970863,	delta=841,	
seq=38,	ch0= 779,	ch1= 130,	ch2= 254,	ch3=  21,	ch4=  21,	ch5=  15,	time=1728461174971704,	delta=841,	
seq=39,	ch0= 744,	ch1=  53,	ch2= 378,	ch3=  23,	ch4=  20,	ch5=  14,	time=1728461174972545,	delta=841,	
seq=40,	ch0= 687,	ch1=   0,	ch2= 485,	ch3=  30,	ch4=  21,	ch5=  13,	time=1728461174973386,	delta=841,	
seq=41,	ch0= 605,	ch1=   4,	ch2= 596,	ch3=  26,	ch4=  23,	ch5=  20,	time=1728461174974227,	delta=841,	
seq=42,	ch0= 507,	ch1=   0,	ch2= 746,	ch3=  30,	ch4=  18,	ch5=  23,	time=1728461174975068,	delta=841,	
seq=43,	ch0= 407,	ch1=  10,	ch2= 753,	ch3=  29,	ch4=  18,	ch5=   0,	time=1728461174975909,	delta=841,	
seq=44,	ch0= 298,	ch1= 106,	ch2= 824,	ch3=  19,	ch4=  72,	ch5=  13,	time=1728461174976750,	delta=841,	
seq=45,	ch0= 247,	ch1= 151,	ch2= 850,	ch3=  31,	ch4=   5,	ch5=  13,	time=1728461174977591,	delta=841,	
seq=46,	ch0=  34,	ch1= 250,	ch2= 872,	ch3=  66,	ch4=  10,	ch5=  26,	time=1728461174978432,	delta=841,	
seq=47,	ch0=   8,	ch1= 424,	ch2= 814,	ch3=  10,	ch4=  11,	ch5=   5,	time=1728461174979273,	delta=841,	
seq=48,	ch0=   0,	ch1= 505,	ch2= 806,	ch3=   9,	ch4=  41,	ch5=  13,	time=1728461174980006,	delta=733,	
seq=49,	ch0=   0,	ch1= 580,	ch2= 651,	ch3=  21,	ch4=  23,	ch5=  20,	time=1728461174980847,	delta=841,	
seq=50,	ch0=   0,	ch1= 658,	ch2= 546,	ch3=  29,	ch4=  20,	ch5=  20,	time=1728461174981687,	delta=840,	
seq=51,	ch0=  10,	ch1= 737,	ch2= 441,	ch3=  26,	ch4=  21,	ch5=  23,	time=1728461174982528,	delta=841,	
seq=52,	ch0=  73,	ch1= 785,	ch2= 312,	ch3=  23,	ch4=  23,	ch5=  18,	time=1728461174983369,	delta=841,	
seq=53,	ch0= 162,	ch1= 810,	ch2= 203,	ch3=  26,	ch4=  26,	ch5=  23,	time=1728461174984210,	delta=841,	
seq=54,	ch0= 245,	ch1= 793,	ch2= 110,	ch3=  21,	ch4=  21,	ch5=  18,	time=1728461174985051,	delta=841,	
seq=55,	ch0= 367,	ch1= 747,	ch2=  14,	ch3=  26,	ch4=  26,	ch5=  16,	time=1728461174985892,	delta=841,	
seq=56,	ch0= 468,	ch1= 693,	ch2=   0,	ch3=  26,	ch4=  20,	ch5=  11,	time=1728461174986733,	delta=841,	
seq=57,	ch0= 576,	ch1= 610,	ch2=   0,	ch3=  23,	ch4=  18,	ch5=  17,	time=1728461174987574,	delta=841,	
seq=58,	ch0= 728,	ch1= 490,	ch2=   0,	ch3=  34,	ch4=   0,	ch5=  13,	time=1728461174988415,	delta=841,	
seq=59,	ch0= 616,	ch1= 392,	ch2=  14,	ch3=  84,	ch4=   8,	ch5=  65,	time=1728461174989256,	delta=841,	
seq=60,	ch0= 756,	ch1= 303,	ch2=  87,	ch3=   0,	ch4=  10,	ch5=  34,	time=1728461174990097,	delta=841,	
