seq=0,	ch0= 783,	ch1= 219,	ch2= 144,	ch3= 651,	ch4= 378,	ch5=   0,	time=1728462964566171,	delta=1728462964566171,	
seq=1,	ch0= 793,	ch1= 132,	ch2= 238,	ch3= 709,	ch4= 305,	ch5=  33,	time=1728462964567012,	delta=841,	
seq=2,	ch0= 753,	ch1=  58,	ch2= 348,	ch3= 762,	ch4= 204,	ch5= 101,	time=1728462964567854,	delta=842,	
seq=3,	ch0= 697,	ch1=   0,	ch2= 466,	ch3= 779,	ch4= 122,	ch5= 179,	time=1728462964568696,	delta=842,	
seq=4,	ch0= 617,	ch1=   0,	ch2= 590,	ch3= 772,	ch4=  49,	ch5= 297,	time=1728462964569537,	delta=841,	
seq=5,	ch0= 527,	ch1=   0,	ch2= 677,	ch3= 732,	ch4=   0,	ch5= 409,	time=1728462964570379,	delta=842,	
seq=6,	ch0= 422,	ch1=   5,	ch2= 761,	ch3= 661,	ch4=   0,	ch5= 487,	time=1728462964571220,	delta=841,	
seq=7,	ch0= 383,	ch1=  42,	ch2= 807,	ch3= 565,	ch4=   0,	ch5= 597,	time=1728462964572061,	delta=841,	
seq=8,	ch0= 101,	ch1= 136,	ch2= 825,	ch3= 532,	ch4=   0,	ch5= 736,	time=1728462964572903,	delta=842,	
seq=9,	ch0=  66,	ch1= 251,	ch2= 865,	ch3= 397,	ch4=  37,	ch5= 744,	time=1728462964573745,	delta=842,	
seq=10,	ch0=  37,	ch1= 346,	ch2= 818,	ch3= 266,	ch4= 105,	ch5= 794,	time=1728462964574587,	delta=842,	
seq=11,	ch0=   0,	ch1= 466,	ch2= 741,	ch3= 169,	ch4= 188,	ch5= 812,	time=1728462964575429,	delta=842,	
seq=12,	ch0=   0,	ch1= 576,	ch2= 661,	ch3=  82,	ch4= 261,	ch5= 798,	time=1728462964576271,	delta=842,	
seq=13,	ch0=   0,	ch1= 654,	ch2= 558,	ch3=  29,	ch4= 361,	ch5= 736,	time=1728462964577112,	delta=841,	
seq=14,	ch0=   0,	ch1= 736,	ch2= 453,	ch3=   0,	ch4= 434,	ch5= 651,	time=1728462964577953,	delta=841,	
seq=15,	ch0=1398,	ch1=  37,	ch2= 994,	ch3= 113,	ch4=  66,	ch5= 188,	time=1728463002431912,	delta=37853959,	
seq=16,	ch0=1033,	ch1=   0,	ch2=1409,	ch3= 125,	ch4=  75,	ch5=  80,	time=1728462964567867,	delta=18446744073671687571,	
seq=17,	ch0= 818,	ch1=  28,	ch2=1575,	ch3= 133,	ch4=  74,	ch5=  90,	time=1728462964568709,	delta=842,	
seq=18,	ch0= 609,	ch1= 151,	ch2=1665,	ch3= 133,	ch4=  79,	ch5=  90,	time=1728462964569551,	delta=842,	
