seq=0,	ch0= 171,	ch1=1603,	ch2= 617,	ch3=  20,	ch4= 349,	ch5= 354,	time=1728463219899449,	delta=1728463219899449,	
seq=1,	ch0= 345,	ch1=1633,	ch2= 401,	ch3=   0,	ch4= 397,	ch5= 276,	time=1728463219900291,	delta=842,	
seq=2,	ch0= 562,	ch1=1600,	ch2= 218,	ch3=  23,	ch4= 429,	ch5= 210,	time=1728463219901133,	delta=842,	
seq=3,	ch0= 775,	ch1=1536,	ch2=  69,	ch3=  66,	ch4= 442,	ch5= 153,	time=1728463219901975,	delta=842,	
seq=4,	ch0= 986,	ch1=1370,	ch2= 105,	ch3= 145,	ch4= 456,	ch5=  92,	time=1728463219902817,	delta=842,	
seq=5,	ch0=1200,	ch1=1245,	ch2=  58,	ch3= 219,	ch4= 449,	ch5=  26,	time=1728463219903658,	delta=841,	
seq=6,	ch0=1354,	ch1=1004,	ch2=   0,	ch3= 290,	ch4= 373,	ch5=  34,	time=1728463219904499,	delta=841,	
seq=7,	ch0=1495,	ch1= 791,	ch2=  82,	ch3= 354,	ch4= 330,	ch5=   0,	time=1728463219905341,	delta=842,	
seq=8,	ch0=1576,	ch1= 576,	ch2= 228,	ch3= 423,	ch4= 270,	ch5=   0,	time=1728463219906183,	delta=842,	
seq=9,	ch0=1597,	ch1= 375,	ch2= 421,	ch3= 480,	ch4= 213,	ch5=   5,	time=1728463219907025,	delta=842,	
seq=10,	ch0=1553,	ch1= 193,	ch2= 642,	ch3= 516,	ch4= 161,	ch5=  40,	time=1728463219907867,	delta=842,	
seq=11,	ch0=1464,	ch1=  65,	ch2= 862,	ch3= 534,	ch4=  98,	ch5=  94,	time=1728463219908709,	delta=842,	
seq=12,	ch0=1330,	ch1=   0,	ch2=1102,	ch3= 530,	ch4=  43,	ch5= 159,	time=1728463219909551,	delta=842,	
seq=13,	ch0=1155,	ch1=   0,	ch2=1317,	ch3= 514,	ch4=   0,	ch5= 233,	time=1728463219910392,	delta=841,	
seq=14,	ch0= 939,	ch1=   0,	ch2=1473,	ch3= 476,	ch4=   0,	ch5= 289,	time=1728463219911233,	delta=841,	
seq=15,	ch0= 773,	ch1=  50,	ch2=1630,	ch3= 421,	ch4=   0,	ch5= 357,	time=1728463219912075,	delta=842,	
seq=16,	ch0= 605,	ch1= 213,	ch2=1724,	ch3= 345,	ch4=   0,	ch5= 441,	time=1728463219900897,	delta=18446744073709540438,	
seq=17,	ch0= 247,	ch1= 418,	ch2=1733,	ch3= 338,	ch4=   0,	ch5= 535,	time=1728463219901739,	delta=842,	
seq=18,	ch0= 146,	ch1= 633,	ch2=1695,	ch3= 201,	ch4=  46,	ch5= 517,	time=1728463219902581,	delta=842,	
seq=19,	ch0=1052,	ch1=1320,	ch2=   0,	ch3= 186,	ch4= 684,	ch5= 199,	time=1728463242992973,	delta=23090392,	
seq=20,	ch0=1386,	ch1= 922,	ch2=   0,	ch3= 330,	ch4= 644,	ch5=  42,	time=1728463242994657,	delta=1684,	
seq=21,	ch0=1511,	ch1= 746,	ch2= 139,	ch3= 467,	ch4= 594,	ch5=   0,	time=1728463242995499,	delta=842,	
seq=22,	ch0=1557,	ch1= 506,	ch2= 394,	ch3= 576,	ch4= 496,	ch5=   0,	time=1728463242996341,	delta=842,	
seq=23,	ch0=1590,	ch1= 295,	ch2= 494,	ch3= 693,	ch4= 402,	ch5=   0,	time=1728463242997183,	delta=842,	
seq=24,	ch0=1523,	ch1= 130,	ch2= 725,	ch3= 762,	ch4= 314,	ch5=  13,	time=1728463242998025,	delta=842,	
seq=25,	ch0=1422,	ch1=  30,	ch2= 960,	ch3= 810,	ch4= 228,	ch5=  85,	time=1728463242998867,	delta=842,	
seq=26,	ch0=1264,	ch1=   0,	ch2=1184,	ch3= 838,	ch4= 132,	ch5= 173,	time=1728463242999709,	delta=842,	
seq=27,	ch0=1074,	ch1=   0,	ch2=1378,	ch3= 840,	ch4=  68,	ch5= 274,	time=1728463243000551,	delta=842,	
