seq=0,	ch0=1547,	ch1=   0,	ch2=2232,	ch3=1656,	ch4= 306,	ch5= 287,	time=1728464175381222,	delta=1728464175381222,	
seq=1,	ch0=1200,	ch1= 103,	ch2=2591,	ch3=1677,	ch4= 166,	ch5= 517,	time=1728464175382064,	delta=842,	
seq=2,	ch0= 790,	ch1= 322,	ch2=2650,	ch3=1640,	ch4=  98,	ch5= 786,	time=1728464175382906,	delta=842,	
seq=3,	ch0= 483,	ch1= 599,	ch2=2674,	ch3=1522,	ch4=   0,	ch5=1013,	time=1728464175383748,	delta=842,	
seq=4,	ch0= 224,	ch1= 911,	ch2=2630,	ch3=1330,	ch4=   0,	ch5=1218,	time=1728464175384590,	delta=842,	
seq=5,	ch0=  23,	ch1=1232,	ch2=2518,	ch3=1101,	ch4=   0,	ch5=1377,	time=1728464175385432,	delta=842,	
seq=6,	ch0=   0,	ch1=1540,	ch2=2131,	ch3= 846,	ch4=  33,	ch5=1507,	time=1728464175386273,	delta=841,	
seq=7,	ch0=   0,	ch1=1838,	ch2=1842,	ch3= 657,	ch4= 157,	ch5=1600,	time=1728464175387115,	delta=842,	
seq=8,	ch0=   0,	ch1=2111,	ch2=1535,	ch3= 437,	ch4= 320,	ch5=1672,	time=1728464175387957,	delta=842,	
seq=9,	ch0=  98,	ch1=2676,	ch2=1163,	ch3= 272,	ch4= 506,	ch5=1691,	time=1728464175388799,	delta=842,	
seq=10,	ch0= 313,	ch1=2885,	ch2= 816,	ch3= 148,	ch4= 717,	ch5=1621,	time=1728464175389642,	delta=843,	
seq=11,	ch0= 584,	ch1=2910,	ch2= 500,	ch3=  34,	ch4= 910,	ch5=1504,	time=1728464175390484,	delta=842,	
seq=12,	ch0= 901,	ch1=2775,	ch2= 303,	ch3=   0,	ch4=1088,	ch5=1334,	time=1728464175391326,	delta=842,	
seq=13,	ch0=1225,	ch1=2524,	ch2= 109,	ch3=   0,	ch4=1231,	ch5=1100,	time=1728464175392168,	delta=842,	
seq=14,	ch0=1535,	ch1=2006,	ch2=   0,	ch3=   0,	ch4=1293,	ch5= 832,	time=1728464175393010,	delta=842,	
seq=15,	ch0=1829,	ch1=1728,	ch2=   0,	ch3= 109,	ch4=1380,	ch5= 586,	time=1728464175393852,	delta=842,	
seq=16,	ch0=2135,	ch1=1434,	ch2=   0,	ch3= 301,	ch4=1401,	ch5= 396,	time=1728464175382794,	delta=18446744073709540558,	
seq=17,	ch0=2416,	ch1=1094,	ch2= 154,	ch3= 532,	ch4=1392,	ch5= 234,	time=1728464175383636,	delta=842,	
seq=18,	ch0=2503,	ch1= 762,	ch2= 386,	ch3= 788,	ch4=1313,	ch5= 117,	time=1728464175384478,	delta=842,	
seq=19,	ch0=2528,	ch1= 460,	ch2= 663,	ch3=1003,	ch4=1201,	ch5=   0,	time=1728464175385321,	delta=843,	
seq=20,	ch0=2461,	ch1= 205,	ch2= 988,	ch3=1197,	ch4=1033,	ch5=   0,	time=1728464175386163,	delta=842,	
seq=21,	ch0=2345,	ch1=  23,	ch2=1335,	ch3=1335,	ch4= 832,	ch5=   0,	time=1728464175387005,	delta=842,	
seq=22,	ch0=1935,	ch1=   9,	ch2=1680,	ch3=1472,	ch4= 622,	ch5=  10,	time=1728464175387847,	delta=842,	
seq=23,	ch0=1657,	ch1=   0,	ch2=1972,	ch3=1567,	ch4= 437,	ch5=  98,	time=1728464175388689,	delta=842,	
seq=24,	ch0=1344,	ch1=  56,	ch2=2450,	ch3=1650,	ch4= 305,	ch5= 308,	time=1728464175389531,	delta=842,	
