seq=0,	ch0= 425,	ch1=   5,	ch2= 762,	ch3= 341,	ch4=  21,	ch5=  82,	time=1728461439538926,	delta=1728461439538926,	
seq=1,	ch0= 314,	ch1=  64,	ch2= 824,	ch3= 330,	ch4=   0,	ch5= 133,	time=1728461439539768,	delta=842,	
seq=2,	ch0= 207,	ch1= 145,	ch2= 844,	ch3= 311,	ch4=   0,	ch5= 192,	time=1728461439540609,	delta=841,	
seq=3,	ch0= 117,	ch1= 248,	ch2= 850,	ch3= 292,	ch4=   0,	ch5= 238,	time=1728461439541451,	delta=842,	
seq=4,	ch0=  42,	ch1= 389,	ch2= 801,	ch3= 242,	ch4=   0,	ch5= 256,	time=1728461439542292,	delta=841,	
seq=5,	ch0=   0,	ch1= 433,	ch2= 746,	ch3= 192,	ch4=  25,	ch5= 299,	time=1728461439543133,	delta=841,	
seq=6,	ch0=  33,	ch1= 551,	ch2= 656,	ch3= 138,	ch4=   0,	ch5= 327,	time=1728461439543974,	delta=841,	
seq=7,	ch0= 322,	ch1=  50,	ch2= 800,	ch3= 502,	ch4=  30,	ch5= 186,	time=1728461574310524,	delta=134766550,	
seq=8,	ch0= 134,	ch1= 265,	ch2= 912,	ch3= 430,	ch4=   0,	ch5= 341,	time=1728461574312208,	delta=1684,	
seq=9,	ch0= 106,	ch1= 354,	ch2= 792,	ch3= 376,	ch4=   0,	ch5= 328,	time=1728461574313050,	delta=842,	
seq=10,	ch0=  39,	ch1= 490,	ch2= 761,	ch3= 292,	ch4=  39,	ch5= 405,	time=1728461574313891,	delta=841,	
seq=11,	ch0=   0,	ch1= 541,	ch2= 687,	ch3= 242,	ch4=  10,	ch5= 480,	time=1728461574314732,	delta=841,	
seq=12,	ch0=   0,	ch1= 638,	ch2= 590,	ch3= 167,	ch4=  58,	ch5= 501,	time=1728461574315574,	delta=842,	
seq=13,	ch0=   0,	ch1= 719,	ch2= 482,	ch3=  96,	ch4= 109,	ch5= 520,	time=1728461574316415,	delta=841,	
seq=14,	ch0=  39,	ch1= 767,	ch2= 354,	ch3=  47,	ch4= 170,	ch5= 501,	time=1728461574317257,	delta=842,	
seq=15,	ch0= 122,	ch1= 799,	ch2= 242,	ch3=   9,	ch4= 241,	ch5= 484,	time=1728461574318099,	delta=842,	
seq=16,	ch0= 214,	ch1= 840,	ch2= 133,	ch3=   0,	ch4= 350,	ch5= 421,	time=1728461439545628,	delta=18446744073574779145,	
seq=17,	ch0= 320,	ch1= 762,	ch2=  53,	ch3=   0,	ch4= 345,	ch5= 370,	time=1728461439546470,	delta=842,	
seq=18,	ch0= 466,	ch1= 719,	ch2=   0,	ch3=  10,	ch4= 393,	ch5= 302,	time=1728461439547311,	delta=841,	
