seq_no=19,	ch0=   0, ch1=1244, ch2=1223, ch3=  10, ch4=1405, ch5= 807, ts=1712137608547510,	delta=831,
seq_no=20,	ch0=   0, ch1=1404, ch2= 999, ch3= 145, ch4=1508, ch5= 612, ts=1712137608549494,	delta=1984,
seq_no=21,	ch0=  86, ch1=1520, ch2= 767, ch3= 329, ch4=1566, ch5= 448, ts=1712137608549566,	delta=72,
seq_no=22,	ch0= 326, ch1=1584, ch2= 546, ch3= 552, ch4=1549, ch5= 274, ts=1712137608550191,	delta=625,
seq_no=23,	ch0= 417, ch1=1600, ch2= 302, ch3= 783, ch4=1500, ch5= 214, ts=1712137608551044,	delta=853,
seq_no=24,	ch0= 690, ch1=1544, ch2= 158, ch3= 999, ch4=1344, ch5=  26, ts=1712137608551850,	delta=806,
seq_no=25,	ch0= 821, ch1=1451, ch2=   0, ch3=1196, ch4=1184, ch5=  64, ts=1712137608552675,	delta=825,
seq_no=26,	ch0=1058, ch1=1270, ch2=   1, ch3=1358, ch4= 929, ch5=   0, ts=1712137608553657,	delta=982,
seq_no=27,	ch0=1190, ch1=1122, ch2=  76, ch3=1504, ch4= 802, ch5=  44, ts=1712137608554352,	delta=695,
seq_no=28,	ch0=1376, ch1= 869, ch2=   9, ch3=1646, ch4= 520, ch5= 151, ts=1712137608555192,	delta=840,
seq_no=29,	ch0=1472, ch1= 705, ch2= 107, ch3=1712, ch4= 406, ch5= 343, ts=1712137608556020,	delta=828,
seq_no=30,	ch0=1529, ch1= 489, ch2= 266, ch3=1719, ch4= 241, ch5= 548, ts=1712137608556867,	delta=847,
seq_no=31,	ch0=1548, ch1= 297, ch2= 474, ch3=1669, ch4= 109, ch5= 775, ts=1712137608557670,	delta=803,
seq_no=32,	ch0=1487, ch1= 145, ch2= 698, ch3=1519, ch4=   9, ch5= 969, ts=1712137608558486,	delta=816,
seq_no=33,	ch0=1389, ch1=  25, ch2= 928, ch3=1336, ch4=   4, ch5=1152, ts=1712137608559415,	delta=929,
seq_no=34,	ch0=1236, ch1=   0, ch2=1167, ch3=1120, ch4=   2, ch5=1317, ts=1712137608560175,	delta=760,
seq_no=35,	ch0=1056, ch1=   0, ch2=1368, ch3= 884, ch4=  42, ch5=1449, ts=1712137608561008,	delta=833,
seq_no=36,	ch0= 868, ch1=  18, ch2=1533, ch3= 685, ch4= 189, ch5=1554, ts=1712137608561910,	delta=902,
seq_no=37,	ch0= 646, ch1= 123, ch2=1671, ch3= 480, ch4= 362, ch5=1632, ts=1712137608562770,	delta=860,
seq_no=38,	ch0= 453, ch1= 181, ch2=1731, ch3= 305, ch4= 634, ch5=1602, ts=1712137608563784,	delta=1014,
seq_no=39,	ch0= 260, ch1= 498, ch2=1739, ch3= 150, ch4= 778, ch5=1522, ts=1712137608564456,	delta=672,
seq_no=40,	ch0= 116, ch1= 623, ch2=1672, ch3=  48, ch4=1007, ch5=1391, ts=1712137608565339,	delta=883,
seq_no=41,	ch0=   2, ch1= 881, ch2=1559, ch3=   0, ch4=1138, ch5=1224, ts=1712137608566190,	delta=851,
seq_no=42,	ch0=   0, ch1=1088, ch2=1399, ch3=   0, ch4=1299, ch5=1023, ts=1712137608567047,	delta=857,
seq_no=43,	ch0=   0, ch1=1277, ch2=1191, ch3=  29, ch4=1428, ch5= 783, ts=1712137608567859,	delta=812,
seq_no=44,	ch0=  10, ch1=1426, ch2= 970, ch3= 175, ch4=1530, ch5= 590, ts=1712137608568696,	delta=837,
seq_no=45,	ch0= 105, ch1=1533, ch2= 734, ch3= 362, ch4=1582, ch5= 414, ts=1712137608569702,	delta=1006,
seq_no=46,	ch0= 254, ch1=1681, ch2= 506, ch3= 593, ch4=1557, ch5= 226, ts=1712137608570339,	delta=637,
seq_no=47,	ch0= 434, ch1=1600, ch2= 302, ch3= 791, ch4=1473, ch5= 111, ts=1712137608571215,	delta=876,
seq_no=48,	ch0= 657, ch1=1605, ch2= 125, ch3=1027, ch4=1327, ch5=   0, ts=1712137608572066,	delta=851,
seq_no=49,	ch0= 818, ch1=1429, ch2=  22, ch3=1241, ch4=1146, ch5=  26, ts=1712137608572892,	delta=826,
seq_no=50,	ch0=1105, ch1=1295, ch2=   0, ch3=1390, ch4= 960, ch5=   0, ts=1712137608573746,	delta=854,
seq_no=51,	ch0=1112, ch1=1075, ch2=   0, ch3=1606, ch4= 726, ch5=  46, ts=1712137608574514,	delta=768,
seq_no=52,	ch0=1385, ch1= 895, ch2=   0, ch3=1649, ch4= 561, ch5= 218, ts=1712137608575336,	delta=822,
seq_no=53,	ch0=1495, ch1= 665, ch2= 141, ch3=1720, ch4= 377, ch5= 372, ts=1712137608576172,	delta=836,
seq_no=54,	ch0=1555, ch1= 456, ch2= 312, ch3=1729, ch4= 222, ch5= 591, ts=1712137608577013,	delta=841,
seq_no=55,	ch0=1534, ch1= 277, ch2= 525, ch3=1647, ch4=  98, ch5= 805, ts=1712137608577865,	delta=852,
seq_no=56,	ch0=1479, ch1= 116, ch2= 740, ch3=1502, ch4=   0, ch5=1010, ts=1712137608578696,	delta=831,
seq_no=57,	ch0=1369, ch1=   5, ch2= 975, ch3=1307, ch4=   0, ch5=1182, ts=1712137608579533,	delta=837,
seq_no=58,	ch0=1211, ch1=   0, ch2=1186, ch3=1081, ch4=   0, ch5=1344, ts=1712137608580376,	delta=843,
seq_no=59,	ch0=1040, ch1=   0, ch2=1396, ch3= 849, ch4=  64, ch5=1466, ts=1712137608581219,	delta=843,
seq_no=60,	ch0= 826, ch1=  23, ch2=1549, ch3= 645, ch4= 210, ch5=1566, ts=1712137608582072,	delta=853,
seq_no=61,	ch0= 716, ch1= 129, ch2=1718, ch3= 473, ch4= 360, ch5=1624, ts=1712137608582905,	delta=833,
seq_no=62,	ch0= 410, ch1= 284, ch2=1680, ch3= 286, ch4= 599, ch5=1688, ts=1712137608583747,	delta=842,
seq_no=63,	ch0= 303, ch1= 485, ch2=1745, ch3= 148, ch4= 794, ch5=1520, ts=1712137608584593,	delta=846,
seq_no=64,	ch0= 114, ch1= 712, ch2=1662, ch3=  18, ch4=1009, ch5=1381, ts=1712137608585442,	delta=849,
seq_no=65,	ch0=   0, ch1= 921, ch2=1532, ch3=   0, ch4=1180, ch5=1187, ts=1712137608586274,	delta=832,
seq_no=66,	ch0=   0, ch1=1120, ch2=1372, ch3=   1, ch4=1323, ch5= 966, ts=1712137608587116,	delta=842,
seq_no=67,	ch0=   0, ch1=1302, ch2=1167, ch3=  64, ch4=1448, ch5= 760, ts=1712137608587960,	delta=844,
seq_no=68,	ch0=  13, ch1=1444, ch2= 927, ch3= 207, ch4=1531, ch5= 566, ts=1712137608588799,	delta=839,
seq_no=69,	ch0= 141, ch1=1554, ch2= 696, ch3= 401, ch4=1573, ch5= 385, ts=1712137608589651,	delta=852,
seq_no=70,	ch0= 295, ch1=1603, ch2= 523, ch3= 627, ch4=1553, ch5= 225, ts=1712137608590484,	delta=833,
seq_no=71,	ch0= 582, ch1=1593, ch2= 269, ch3= 862, ch4=1433, ch5=  96, ts=1712137608591330,	delta=846,
seq_no=72,	ch0= 688, ch1=1539, ch2= 122, ch3=1055, ch4=1309, ch5=  65, ts=1712137608592170,	delta=840,
seq_no=73,	ch0= 988, ch1=1389, ch2=   0, ch3=1236, ch4=1069, ch5=   0, ts=1712137608593012,	delta=842,
seq_no=74,	ch0=1088, ch1=1253, ch2=  67, ch3=1415, ch4= 948, ch5=   5, ts=1712137608593862,	delta=850,
seq_no=75,	ch0=1279, ch1=1003, ch2=   0, ch3=1580, ch4= 752, ch5=  45, ts=1712137608594700,	delta=838,
seq_no=76,	ch0=1403, ch1= 844, ch2=  29, ch3=1667, ch4= 536, ch5= 215, ts=1712137608595542,	delta=842,
seq_no=77,	ch0=1504, ch1= 640, ch2= 161, ch3=1721, ch4= 349, ch5= 417, ts=1712137608596385,	delta=843,
seq_no=78,	ch0=1549, ch1= 432, ch2= 329, ch3=1708, ch4= 195, ch5= 628, ts=1712137608597227,	delta=842,
seq_no=79,	ch0=1533, ch1= 251, ch2= 560, ch3=1615, ch4=  70, ch5= 842, ts=1712137608598374,	delta=1147,
seq_no=80,	ch0=1465, ch1=  97, ch2= 775, ch3=1463, ch4=   0, ch5=1030, ts=1712137608598965,	delta=591,
seq_no=81,	ch0=1347, ch1=   0, ch2=1015, ch3=1260, ch4=   0, ch5=1216, ts=1712137608600063,	delta=1098,
seq_no=82,	ch0=1184, ch1=   8, ch2=1234, ch3=1036, ch4=   0, ch5=1377, ts=1712137608600654,	delta=591,
seq_no=83,	ch0=1000, ch1=   0, ch2=1423, ch3= 819, ch4=  90, ch5=1495, ts=1712137608601482,	delta=828,
seq_no=84,	ch0= 792, ch1=  43, ch2=1584, ch3= 609, ch4= 242, ch5=1594, ts=1712137608602637,	delta=1155,
seq_no=85,	ch0= 594, ch1= 103, ch2=1684, ch3= 435, ch4= 481, ch5=1617, ts=1712137608603215,	delta=578,
seq_no=86,	ch0= 386, ch1= 328, ch2=1850, ch3= 247, ch4= 626, ch5=1587, ts=1712137608604461,	delta=1246,
seq_no=87,	ch0= 215, ch1= 487, ch2=1730, ch3= 119, ch4= 769, ch5=1492, ts=1712137608604990,	delta=529,
seq_no=88,	ch0=  70, ch1= 736, ch2=1648, ch3=   5, ch4=1015, ch5=1344, ts=1712137608605725,	delta=735,
seq_no=89,	ch0=   0, ch1= 952, ch2=1512, ch3=   0, ch4=1184, ch5=1140, ts=1712137608606518,	delta=793,
seq_no=90,	ch0=   0, ch1=1152, ch2=1327, ch3=   0, ch4=1349, ch5= 934, ts=1712137608607348,	delta=830,
seq_no=91,	ch0=   0, ch1=1321, ch2=1116, ch3=  65, ch4=1466, ch5= 721, ts=1712137608608186,	delta=838,
seq_no=92,	ch0=  38, ch1=1475, ch2= 877, ch3= 228, ch4=1551, ch5= 535, ts=1712137608609028,	delta=842,
seq_no=93,	ch0= 165, ch1=1556, ch2= 645, ch3= 430, ch4=1652, ch5= 346, ts=1712137608609882,	delta=854,
seq_no=94,	ch0= 320, ch1=1603, ch2= 434, ch3= 650, ch4=1533, ch5= 199, ts=1712137608610716,	delta=834,
seq_no=95,	ch0= 525, ch1=1549, ch2= 240, ch3= 894, ch4=1479, ch5=  64, ts=1712137608611557,	delta=841,
seq_no=96,	ch0= 715, ch1=1525, ch2=  87, ch3=1088, ch4=1269, ch5=   0, ts=1712137608612394,	delta=837,
seq_no=97,	ch0= 960, ch1=1452, ch2=   0, ch3=1283, ch4=1078, ch5=   0, ts=1712137608613238,	delta=844,
seq_no=98,	ch0=1088, ch1=1226, ch2=   0, ch3=1367, ch4= 884, ch5=   0, ts=1712137608614090,	delta=852,
seq_no=99,	ch0=1268, ch1=1144, ch2=   0, ch3=1578, ch4= 685, ch5=  45, ts=1712137608614925,	delta=835,
seq_no=100,	ch0=1428, ch1= 821, ch2=  44, ch3=1676, ch4= 506, ch5= 247, ts=1712137608615766,	delta=841,
seq_no=101,	ch0=1515, ch1= 598, ch2= 209, ch3=1720, ch4= 322, ch5= 459, ts=1712137608616606,	delta=840,
